word,pos
abilitate,NOUN
aborda,VERB
abordare,NOUN
academic,ADJ
accelerat,ADJ
accent,NOUN
accentua,VERB
accentuare,NOUN
accentuat,ADJ
accepta,VERB
acceptabil,ADJ
acceptare,NOUN
activitate,NOUN
actual,ADJ
adapta,VERB
adaptare,NOUN
adesea,ADV
administrație,NOUN
adoptare,NOUN
afară,ADV
afirma,VERB
afirmație,NOUN
alături,ADV
alega,VERB
alege,VERB
aliniere,NOUN
alternativ,ADJ
alternativă,NOUN
amintit,ADJ
amplifica,VERB
amploare,NOUN
amplu,ADJ
amprentă,NOUN
analist,NOUN
analitic,ADJ
analiza,VERB
analizare,NOUN
angajare,NOUN
ansamblu,NOUN
antrena,VERB
anula,VERB
aparte,ADV
apartenență,NOUN
aplicabilitate,NOUN
aprecia,VERB
apreciere,NOUN
apropiat,ADJ
arăta,VERB
argument,NOUN
argumenta,VERB
artificial,ADJ
asemenea,ADJ
aspect,NOUN
astăzi,ADV
așteptare,NOUN
asumare,NOUN
atitudine,NOUN
atrage,VERB
autohton,ADJ
autonom,ADJ
autonomie,NOUN
autor,NOUN
avansat,ADJ
avantaj,NOUN
axa,VERB
baza,VERB
benefic,ADJ
bloca,VERB
cadru,NOUN
calificat,ADJ
calitate,NOUN
calitativ,ADJ
cantitativ,ADJ
capabil,ADJ
caracter,NOUN
caracteristic,ADJ
caracteriza,VERB
categorie,NOUN
cauzal,ADJ
centra,VERB
cercetare,NOUN
cercetător,NOUN
cheie,NOUN
chestionar,NOUN
citat,NOUN
ciudă,NOUN
clar,ADJ
clarificare,NOUN
clasic,ADJ
clasificare,NOUN
climat,NOUN
coerent,ADJ
coerență,NOUN
coeziune,NOUN
cognitiv,ADJ
comanda,VERB
combinare,NOUN
comparație,NOUN
compărea,VERB
complementar,ADJ
complex,ADJ
complexitate,NOUN
componentă,NOUN
comporta,VERB
comportament,NOUN
comportamental,ADJ
compromis,NOUN
comun,ADJ
comunicare,NOUN
concentra,VERB
concept,NOUN
conceptual,ADJ
concluzie,NOUN
concordanță,NOUN
concret,ADJ
concretiza,VERB
concura,VERB
concurență,NOUN
conduce,VERB
configurație,NOUN
confirma,VERB
confrunta,VERB
consecință,NOUN
consecvent,ADJ
consens,NOUN
considera,VERB
considerabil,ADJ
considerație,NOUN
consistent,ADJ
consistență,NOUN
consolida,VERB
consolidare,NOUN
consta,VERB
constant,ADJ
constata,VERB
conștient,ADJ
conștientizare,NOUN
constitui,VERB
constituire,NOUN
constrângere,NOUN
construi,VERB
construire,NOUN
cont,NOUN
context,NOUN
continuare,NOUN
continuitate,NOUN
contradicție,NOUN
contribui,VERB
contura,VERB
cooperare,NOUN
coordonare,NOUN
coordonată,NOUN
corect,ADJ
corectitudine,NOUN
corela,VERB
corelare,NOUN
crea,VERB
creare,NOUN
creativitate,NOUN
credibilitate,NOUN
criteriu,NOUN
cuantifica,VERB
cunoaștere,NOUN
cunostință,NOUN
cuprinzător,ADJ
curent,ADJ
dăuna,VERB
decât,ADV
deceniu,NOUN
decident,NOUN
decisiv,ADJ
decizional,ADJ
declanșa,VERB
declin,NOUN
dedicat,ADJ
deficiență,NOUN
defini,VERB
definire,NOUN
definiție,NOUN
definitoriu,ADJ
degrabă,ADV
delimita,VERB
delimitare,NOUN
demers,NOUN
demografic,ADJ
deopotrivă,ADV
deosebire,NOUN
departe,ADV
dependent,ADJ
depinde,VERB
deplin,ADJ
deriva,VERB
descrie,VERB
descriptiv,ADJ
desfășurare,NOUN
desigur,ADV
desprinde,VERB
determinant,ADJ
determinare,NOUN
deține,VERB
detriment,NOUN
deveni,VERB
dezastru,NOUN
deziderat,NOUN
dezvolta,VERB
dezvoltare,NOUN
dezvoltat,ADJ
diferență,NOUN
diferenția,VERB
diferențiere,NOUN
diferi,VERB
diferit,ADJ
dificil,ADJ
dificultate,NOUN
dimensiune,NOUN
diminua,VERB
dimpotrivă,ADV
dinamic,ADJ
direct,ADJ
disciplină,NOUN
discriminare,NOUN
discuție,NOUN
disponibilitate,NOUN
distanța,VERB
distinct,ADJ
distinge,VERB
distribuție,NOUN
diversificare,NOUN
diversitate,NOUN
dobândi,VERB
dobândire,NOUN
documentare,NOUN
domeniu,NOUN
domina,VERB
dominant,ADJ
dorit,ADJ
dubla,VERB
educație,NOUN
efectiv,ADJ
eficient,ADJ
eficientizare,NOUN
efort,NOUN
elabora,VERB
elaborare,NOUN
electronic,ADJ
element,NOUN
emoție,NOUN
emotional,ADJ
entitate,NOUN
enunța,VERB
eșec,NOUN
esență,NOUN
esential,ADJ
etapă,NOUN
etc,ADV
eterogen,ADJ
etică,NOUN
european,ADJ
evident,ADJ
evidență,NOUN
evidenția,VERB
evidențiere,NOUN
evitare,NOUN
evoluție,NOUN
excelență,NOUN
excepție,NOUN
exclusiv,ADJ
exemplifica,VERB
exemplu,NOUN
exercita,VERB
exista,VERB
existent,ADJ
existență,NOUN
expansiune,NOUN
expert,NOUN
expertiză,NOUN
explica,VERB
explicație,NOUN
explicativ,ADJ
explicit,ADJ
exploata,VERB
exprima,VERB
extern,ADJ
extinde,VERB
extindere,NOUN
extins,ADJ
extras,NOUN
extrem,ADJ
facilita,VERB
facilitare,NOUN
factor,NOUN
fapt,NOUN
favoare,NOUN
favorabil,ADJ
favoriza,VERB
fenomen,NOUN
final,NOUN
flexibilitate,NOUN
focaliza,VERB
folosi,VERB
folosire,NOUN
formal,ADJ
formula,VERB
formulare,NOUN
forța,VERB
forum,NOUN
funcție,NOUN
funcțional,ADJ
fundal,NOUN
fundament,NOUN
fundamenta,VERB
fundamental,ADJ
gen,NOUN
genera,VERB
generație,NOUN
generator,NOUN
generic,ADJ
geografic,ADJ
gestiona,VERB
grad,NOUN
greși,VERB
grupare,NOUN
guverna,VERB
guvernamental,ADJ
hartă,NOUN
hibrid,ADJ
idee,NOUN
identic,ADJ
identifica,VERB
identificare,NOUN
identitate,NOUN
ierarhic,ADJ
ierarhie,NOUN
ignora,VERB
ilustra,VERB
împărtăși,VERB
împărți,VERB
imperativ,ADJ
implica,VERB
implicare,NOUN
implicație,NOUN
implicit,ADJ
important,ADJ
imposibilitate,NOUN
împreună,ADV
impuls,NOUN
impune,VERB
impunere,NOUN
înalt,ADJ
incident,NOUN
includere,NOUN
încredere,NOUN
încuraja,VERB
independent,ADJ
îndeplinire,NOUN
indiciu,NOUN
indirect,ADJ
individ,NOUN
inerent,ADJ
inevitabil,ADJ
influența,VERB
inițiativă,NOUN
inovator,ADJ
înregistra,VERB
însemna,VERB
instanță,NOUN
instituție,NOUN
instituțional,ADJ
instrument,NOUN
întâi,ADJ
întâlni,VERB
întâmpina,VERB
întâmpla,VERB
întări,VERB
întărire,NOUN
integra,VERB
integrare,NOUN
integrat,ADJ
integritate,NOUN
intelectual,NOUN
ințelegere,NOUN
intensificare,NOUN
intensitate,NOUN
intenție,NOUN
interes,NOUN
interesant,ADJ
intermediu,NOUN
intern,ADJ
internațional,ADJ
interpreta,VERB
interpretare,NOUN
interveni,VERB
interviu,NOUN
întrebare,NOUN
întreprinde,VERB
introduce,VERB
introducere,NOUN
invers,ADJ
investiga,VERB
investigare,NOUN
invoca,VERB
jur,NOUN
justifica,VERB
larg,ADJ
latent,ADJ
lega,VERB
legatură,NOUN
limitare,NOUN
lipsă,NOUN
logic,ADJ
logică,NOUN
luare,NOUN
lucrare,NOUN
major,ADJ
majoritate,NOUN
manieră,NOUN
manifesta,VERB
manual,ADJ
masiv,ADJ
mecanism,NOUN
medie,NOUN
mediu,NOUN
menit,ADJ
menținere,NOUN
mesaj,NOUN
metodologic,ADJ
mobilitate,NOUN
modalitate,NOUN
model,NOUN
modela,VERB
modern,ADJ
modernizare,NOUN
motiva,VERB
motivație,NOUN
multitudine,NOUN
național,ADJ
natural,ADJ
neapărat,ADJ
necesitate,NOUN
negativ,ADJ
nevoi,VERB
nevoie,NOUN
nivel,NOUN
normativ,ADJ
noțiune,NOUN
nucleu,NOUN
numeros,ADJ
obicei,NOUN
obiectiv,NOUN
observație,NOUN
obstacol,NOUN
obține,VERB
obținere,NOUN
ocupa,VERB
ocupație,NOUN
odată,ADV
oferi,VERB
oferire,NOUN
opinie,NOUN
oportunitate,NOUN
opta,VERB
opțiune,NOUN
opus,ADJ
ordine,NOUN
organizare,NOUN
organizație,NOUN
orienta,VERB
orientare,NOUN
orizont,NOUN
orizontal,ADJ
paradigmă,NOUN
paralel,ADJ
parcurs,NOUN
parte,NOUN
parteneriat,NOUN
participant,NOUN
particular,ADJ
percepe,VERB
percepție,NOUN
permite,VERB
perspectivă,NOUN
plan,NOUN
planificare,NOUN
plus,ADV
pofidă,NOUN
populație,NOUN
porni,VERB
posibilitate,NOUN
potențial,ADJ
potrivit,ADJ
poziționare,NOUN
pozitiv,ADJ
practic,ADJ
practica,VERB
prag,NOUN
precădere,NOUN
precis,ADJ
precum,ADV
prefera,VERB
preferință,NOUN
prelua,VERB
preluare,NOUN
premisă,NOUN
preocupa,VERB
preocupare,NOUN
preponderent,ADJ
presiune,NOUN
presupune,VERB
principal,ADJ
prioritar,ADJ
prioritate,NOUN
prismă,NOUN
privință,NOUN
privire,NOUN
problemă,NOUN
problematic,ADJ
problematică,NOUN
procent,NOUN
proces,NOUN
productiv,ADJ
profesional,ADJ
profund,ADJ
progres,NOUN
proiecție,NOUN
promova,VERB
promovare,NOUN
pronunța,VERB
propriu,ADJ
propune,VERB
protejare,NOUN
provocare,NOUN
public,NOUN
puternic,ADJ
radical,ADJ
rând,NOUN
raport,NOUN
răspandi,VERB
răspandire,NOUN
rational,ADJ
rationament,NOUN
real,ADJ
realitate,NOUN
realiza,VERB
realizare,NOUN
recent,ADJ
reciproc,ADJ
recurs,NOUN
reduce,VERB
referi,VERB
referire,NOUN
reflecta,VERB
reflecție,NOUN
regăsi,VERB
regional,ADJ
regiune,NOUN
regulă,NOUN
reieși,VERB
relație,NOUN
relațional,ADJ
relativ,ADJ
relevant,ADJ
relevanță,NOUN
remarca,VERB
reprezenta,VERB
reprezentare,NOUN
resimți,VERB
respondent,NOUN
restrâns,ADJ
reuși,VERB
rezolva,VERB
rezultat,NOUN
rezuma,VERB
rol,NOUN
rural,ADJ
ruta,VERB
șansă,NOUN
sărăcie,NOUN
satisface,VERB
scenariu,NOUN
schimbare,NOUN
scop,NOUN
scor,NOUN
secțiune,NOUN
securitate,NOUN
segment,NOUN
selecta,VERB
semnificație,NOUN
sesiza,VERB
sferă,NOUN
simplificare,NOUN
simplu,ADJ
simultan,ADJ
sintetiza,VERB
situație,NOUN
slab,ADJ
social,ADJ
soluționare,NOUN
soma,VERB
sondaj,NOUN
spațiu,NOUN
specialist,NOUN
specialitate,NOUN
specializare,NOUN
specializat,ADJ
specific,ADJ
spectru,NOUN
spori,VERB
sporit,ADJ
sprijini,VERB
sprijinire,NOUN
stabilitate,NOUN
standard,ADJ
statistică,NOUN
stiințific,ADJ
stimula,VERB
strategie,NOUN
strict,ADJ
structura,VERB
structural,ADJ
studiere,NOUN
subiect,NOUN
subiectiv,ADJ
sublinia,VERB
substantial,ADJ
succes,NOUN
succesiv,ADJ
sugera,VERB
surprinde,VERB
sursă,NOUN
susține,VERB
susținere,NOUN
tematic,ADJ
tematică,NOUN
tendință,NOUN
teoretic,ADJ
teorie,NOUN
termen,NOUN
timp,NOUN
tinde,VERB
tip,NOUN
tipic,ADJ
totalitate,NOUN
totodată,ADV
tradițional,ADJ
traiectorie,NOUN
transfer,NOUN
transforma,VERB
transformare,NOUN
transparent,ADJ
tranziție,NOUN
trecere,NOUN
treime,NOUN
unitar,ADJ
urban,ADJ
urmare,NOUN
urmări,VERB
util,ADJ
valență,NOUN
valida,VERB
valorifica,VERB
valorificare,NOUN
variat,ADJ
variație,NOUN
varietate,NOUN
vecinatate,NOUN
vedere,NOUN
versiune,NOUN
viitor,NOUN
vital,ADJ
viza,VERB
viziune,NOUN
vulnerabil,ADJ
vulnerabilitate,NOUN